student_number,student_name,date_of_birth,student_email,course_name,academic_year,student_password
241,Student241,1999-12-21,amulvenna10@qub.ac.uk,Maths,Second,password
246,Student246,2001-12-14,amulvenna10@qub.ac.uk,Maths,Third,password
251,Student251,2000-09-07,amulvenna10@qub.ac.uk,Maths,First,password
152,Student152,2001-12-05,amulvenna10@qub.ac.uk,English,Third,password
157,Student157,2000-08-09,amulvenna10@qub.ac.uk,English,Second,password
162,Student162,1999-07-30,amulvenna10@qub.ac.uk,English,Third,password
167,Student167,2001-10-03,amulvenna10@qub.ac.uk,English,First,password
172,Student172,2000-03-04,amulvenna10@qub.ac.uk,English,First,password
177,Student177,1999-11-04,amulvenna10@qub.ac.uk,English,Second,password
182,Student182,2001-03-09,amulvenna10@qub.ac.uk,English,Second,password
187,Student187,2000-04-03,amulvenna10@qub.ac.uk,English,Third,password
192,Student192,1999-11-30,amulvenna10@qub.ac.uk,English,Second,password
197,Student197,2001-11-11,amulvenna10@qub.ac.uk,English,Third,password
202,Student202,2000-03-18,amulvenna10@qub.ac.uk,English,First,password
207,Student207,1999-11-04,amulvenna10@qub.ac.uk,English,Postgraduate,password
212,Student212,2001-03-09,amulvenna10@qub.ac.uk,English,Third,password
217,Student217,2000-04-03,amulvenna10@qub.ac.uk,English,Second,password
227,Student227,2001-11-11,amulvenna10@qub.ac.uk,English,First,password
232,Student232,2000-03-18,amulvenna10@qub.ac.uk,English,Third,password
237,Student237,1999-11-04,amulvenna10@qub.ac.uk,English,First,password
242,Student242,2001-03-09,amulvenna10@qub.ac.uk,English,Postgraduate,password
247,Student247,2000-04-03,amulvenna10@qub.ac.uk,English,Second,password
149,Student149,2002-01-15,amulvenna10@qub.ac.uk,Civil Engineering,Fourth,password
154,Student154,2002-02-14,amulvenna10@qub.ac.uk,Civil Engineering,Second,password
159,Student159,1999-12-13,amulvenna10@qub.ac.uk,Civil Engineering,Placement,password
164,Student164,2002-04-11,amulvenna10@qub.ac.uk,Civil Engineering,Fourth,password
169,Student169,2002-05-29,amulvenna10@qub.ac.uk,Civil Engineering,Third,password
174,Student174,2001-06-12,amulvenna10@qub.ac.uk,Civil Engineering,First,password
179,Student179,2002-02-28,amulvenna10@qub.ac.uk,Civil Engineering,Placement,password
184,Student184,2000-08-26,amulvenna10@qub.ac.uk,Civil Engineering,Fourth,password
189,Student189,2001-10-28,amulvenna10@qub.ac.uk,Civil Engineering,Second,password
194,Student194,2002-01-12,amulvenna10@qub.ac.uk,Civil Engineering,Postgraduate,password
199,Student199,2000-02-08,amulvenna10@qub.ac.uk,Civil Engineering,Second,password
204,Student204,2001-06-27,amulvenna10@qub.ac.uk,Civil Engineering,Third,password
209,Student209,2002-02-28,amulvenna10@qub.ac.uk,Civil Engineering,First,password
214,Student214,2000-08-26,amulvenna10@qub.ac.uk,Civil Engineering,Placement,password
219,Student219,2001-10-28,amulvenna10@qub.ac.uk,Civil Engineering,Fourth,password
224,Student224,2002-01-12,amulvenna10@qub.ac.uk,Civil Engineering,Second,password
229,Student229,2000-02-08,amulvenna10@qub.ac.uk,Civil Engineering,Placement,password
234,Student234,2001-06-27,amulvenna10@qub.ac.uk,Civil Engineering,Fourth,password
239,Student239,2002-02-28,amulvenna10@qub.ac.uk,Civil Engineering,Third,password
244,Student244,2000-08-26,amulvenna10@qub.ac.uk,Civil Engineering,First,password
249,Student249,2001-10-28,amulvenna10@qub.ac.uk,Civil Engineering,Placement,password
,,,,,,
